Element,Z,Vl,Pc,Pc18,Pr,Uo,Eg,Ip1,Ip2,Ea,Homo,Lumo,Ros,Rop,Rod,Ra,Rv,Rc,Plz,M,Mel,Boi,de,Zeff,Fus,Vap,Cap
Np,93,7,3,3,,19,1.36,,,,,,,,,,,1.9,150.5,,,,,4.72,3.2,,0.12
Pu,94,8,3,3,,8,1.28,,,,,,,,,,,1.87,132.2,,,,,4.57,2.82,344,0.13
Am,95,9,3,3,,7,1.3,,,,,,,,,,,1.8,131.2,,,,,4.65,14.39,,0.11
Cm,96,10,3,3,,16,1.3,,,,,,,,,,,1.69,143.6,,,,,4.66,15,,
Bk,97,11,3,3,,5,1.3,,,,,,,,,,,,125.3,,,,,4.74,,,
Cf,98,12,3,3,,4,1.3,,,,,,,,,,,,121.5,,,,,4.76,,,
Es,99,13,3,3,,3,1.3,,,,,,,,,,,,117.5,,,,,4.81,,,
Fm,100,14,3,3,,2,1.3,,,,,,,,,,,,113.4,,,,,4.84,,,
Md,101,15,3,3,,1,1.3,,,,,,,,,,,,109.4,,,,,4.87,,,
No,102,16,3,3,,0,1.3,,,,,,,,,,,,105.4,,,,,4.9,,,
Lr,103,17,3,3,,5,1.3,,,,,,,,,,,,,,,,,,,,
Rf,104,18,4,4,,8,,,,,,,,,,,,,,,,,,,,,
Db,105,19,5,5,,7,,,,,,,,,,,,,42.5,,,,,,,,
Sg,106,20,6,6,,6,,,,,,,,,,,,,40.7,,,,,,,,
Bh,107,21,7,7,,5,,,,,,,,,,,,,38.4,,,,,,,,
Hs,108,22,8,8,,4,,,,,,,,,,,,,36.2,,,,,,,,
Mt,109,23,9,9,,3,,,,,,,,,,,,,34.2,,,,,,,,
Ds,110,24,10,10,,2,,,,,,,,,,,,,32.3,,,,,,,,
Rg,111,25,11,11,,1,,,,,,,,,,,,,30.6,,,,,,,,
Cn,112,26,12,12,,0,,,,,,,,,,,,,29,,,,,,,,
Nh,113,,,,,,,,,,,,,,,,,,29.9,,,,,,,,
Fl,114,,,,,,,,,,,,,,,,,,30.59,,,,,,,,
Mc,115,,,,,,,,,,,,,,,,,,,,,,,,,,
Lv,116,,,,,,,,,,,,,,,,,,,,,,,,,,
Ts,117,,,,,,,,,,,,,,,,,,,,,,,,,,
Og,118,,,,,,,,,,,,,,,,,,46.33,,,,,,,,
